import time: self [us] | cumulative | imported package
import time:       931 |        931 |                   scipy.sparse._construct
import time:       209 |        209 |                   scipy.sparse._extract
import time:       168 |        168 |                   scipy.sparse._matrix_io
import time:       127 |        127 |                   scipy.sparse.base
import time:       144 |        144 |                   scipy.sparse.bsr
import time:       141 |        141 |                   scipy.sparse.compressed
import time:       134 |        134 |                   scipy.sparse.construct
import time:       129 |        129 |                   scipy.sparse.coo
import time:       129 |        129 |                   scipy.sparse.csc
import time:       155 |        155 |                   scipy.sparse.csr
import time:       505 |        505 |                   scipy.sparse.data
import time:        96 |         96 |                   scipy.sparse.dia
import time:       143 |        143 |                   scipy.sparse.dok
import time:       176 |        176 |                   scipy.sparse.extract
import time:       759 |        759 |                   scipy.sparse.lil
import time:        77 |         77 |                   scipy.sparse.sparsetools
import time:       201 |        201 |                   scipy.sparse.sputils
import time:       594 |      15384 |                 scipy.sparse
import time:       809 |        809 |                     scipy.sparse.linalg._interface
import time:       198 |        198 |                     scipy.sparse.linalg._isolve.utils
import time:      1217 |       2223 |                   scipy.sparse.linalg._isolve.iterative
import time:       554 |        554 |                   scipy.sparse.linalg._isolve.minres
import time:       420 |        420 |                     scipy.sparse.linalg._isolve._gcrotmk
import time:       435 |        854 |                   scipy.sparse.linalg._isolve.lgmres
import time:       265 |        265 |                   scipy.sparse.linalg._isolve.lsqr
import time:       193 |        193 |                   scipy.sparse.linalg._isolve.lsmr
import time:       336 |        336 |                   scipy.sparse.linalg._isolve.tfqmr
import time:       342 |       4764 |                 scipy.sparse.linalg._isolve
import time:      1943 |       1943 |                     scipy.sparse.linalg._dsolve._superlu
import time:        57 |         57 |                       scikits
import time:        10 |         67 |                     scikits.umfpack
import time:       450 |       2459 |                   scipy.sparse.linalg._dsolve.linsolve
import time:       171 |        171 |                   scipy.sparse.linalg._dsolve._add_newdocs
import time:       264 |       2893 |                 scipy.sparse.linalg._dsolve
import time:      1569 |       1569 |                       scipy.sparse.linalg._eigen.arpack._arpacklib
import time:       458 |       2026 |                     scipy.sparse.linalg._eigen.arpack.arpack
import time:       307 |       2332 |                   scipy.sparse.linalg._eigen.arpack
import time:       614 |        614 |                     scipy.sparse.linalg._eigen.lobpcg.lobpcg
import time:       308 |        921 |                   scipy.sparse.linalg._eigen.lobpcg
import time:      1939 |       1939 |                       scipy.sparse.linalg._propack
import time:       246 |       2185 |                     scipy.sparse.linalg._svdp
import time:       805 |       2989 |                   scipy.sparse.linalg._eigen._svds
import time:       362 |       6603 |                 scipy.sparse.linalg._eigen
import time:       211 |        211 |                     scipy.sparse.linalg._onenormest
import time:       331 |        542 |                   scipy.sparse.linalg._expm_multiply
import time:       434 |        975 |                 scipy.sparse.linalg._matfuncs
import time:       177 |        177 |                 scipy.sparse.linalg._norm
import time:       203 |        203 |                 scipy.sparse.linalg._funm_multiply_krylov
import time:       311 |        311 |                 scipy.sparse.linalg._special_sparse_arrays
import time:       151 |        151 |                 scipy.sparse.linalg.isolve
import time:       144 |        144 |                 scipy.sparse.linalg.dsolve
import time:       174 |        174 |                 scipy.sparse.linalg.interface
import time:       404 |        404 |                 scipy.sparse.linalg.eigen
import time:        84 |         84 |                 scipy.sparse.linalg.matfuncs
import time:       401 |      32661 |               scipy.sparse.linalg
import time:       367 |        367 |                 scipy.optimize._dcsrch
import time:       248 |        615 |               scipy.optimize._linesearch
import time:      1832 |       1832 |                 scipy.optimize._group_columns
import time:       462 |       2293 |               scipy.optimize._numdiff
import time:       318 |        318 |                 scipy.optimize._hessian_update_strategy
import time:       499 |        816 |               scipy.optimize._differentiable_functions
import time:      1711 |      38094 |             scipy.optimize._optimize
import time:       228 |        228 |                 scipy.optimize._trustregion
import time:       194 |        421 |               scipy.optimize._trustregion_dogleg
import time:       188 |        188 |               scipy.optimize._trustregion_ncg
import time:      2112 |       2112 |                     scipy._lib.messagestream
import time:      1864 |       3975 |                   scipy.optimize._trlib._trlib
import time:        88 |       4063 |                 scipy.optimize._trlib
import time:        94 |       4156 |               scipy.optimize._trustregion_krylov
import time:       233 |        233 |               scipy.optimize._trustregion_exact
import time:       470 |        470 |                   scipy.optimize._constraints
import time:        91 |         91 |                         sksparse
import time:        26 |        116 |                       sksparse.cholmod
import time:       211 |        326 |                     scipy.optimize._trustregion_constr.projections
import time:       221 |        221 |                     scipy.optimize._trustregion_constr.qp_subproblem
import time:       228 |        775 |                   scipy.optimize._trustregion_constr.equality_constrained_sqp
import time:       233 |        233 |                   scipy.optimize._trustregion_constr.canonical_constraint
import time:       228 |        228 |                   scipy.optimize._trustregion_constr.tr_interior_point
import time:       279 |        279 |                   scipy.optimize._trustregion_constr.report
import time:       440 |       2423 |                 scipy.optimize._trustregion_constr.minimize_trustregion_constr
import time:       293 |       2715 |               scipy.optimize._trustregion_constr
import time:      1953 |       1953 |                 scipy.optimize._lbfgsb
import time:       317 |       2270 |               scipy.optimize._lbfgsb_py
import time:      1766 |       1766 |                 scipy.optimize._moduleTNC
import time:       263 |       2028 |               scipy.optimize._tnc
import time:       344 |        344 |               scipy.optimize._cobyla_py
import time:       161 |        161 |               scipy.optimize._cobyqa_py
import time:      1781 |       1781 |                 scipy.optimize._slsqplib
import time:       257 |       2037 |               scipy.optimize._slsqp_py
import time:       362 |      14910 |             scipy.optimize._minimize
import time:      1545 |       1545 |                 scipy.optimize._minpack
import time:       250 |        250 |                       scipy.optimize._lsq.common
import time:       218 |        467 |                     scipy.optimize._lsq.trf
import time:       195 |        195 |                     scipy.optimize._lsq.dogbox
import time:       331 |        992 |                   scipy.optimize._lsq.least_squares
import time:      1580 |       1580 |                       scipy.optimize._lsq.givens_elimination
import time:       179 |       1759 |                     scipy.optimize._lsq.trf_linear
import time:       192 |        192 |                     scipy.optimize._lsq.bvls
